DFIRM_ID,FIRM_PAN,PANEL,ST_FIPS,PCOMM,EFF_DATE,PRE_DATE,PANEL_TYP,eff_date,pre_date,county_fips
01003C,01003C0325M,0325,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0450M,0450,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0817M,0817,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0684M,0684,01,003C,1555632000000.0,253392451200000.0,"Countywide, Not Printed",2019-04-19,9999-09-09,12003
01003C,01003C0569M,0569,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0695M,0695,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0819M,0819,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0838M,0838,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0839M,0839,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0836M,0836,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0843M,0843,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0844M,0844,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0841M,0841,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0976M,0976,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0980M,0980,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01003C,01003C0807M,0807,01,003C,1555632000000.0,253392451200000.0,"Countywide, Panel Printed",2019-04-19,9999-09-09,12003
01039C,01039C0700C,0700,01,039C,1257292800000.0,253392451200000.0,"Countywide, Panel Printed",2009-11-04,9999-09-09,12039
01039C,01039C0675C,0675,01,039C,1257292800000.0,253392451200000.0,"Countywide, Panel Printed",2009-11-04,9999-09-09,12039
01039C,01039C0650C,0650,01,039C,1257292800000.0,253392451200000.0,"Countywide, Panel Printed",2009-11-04,9999-09-09,12039
01039C,01039C0725C,0725,01,039C,1257292800000.0,253392451200000.0,"Countywide, Not Printed",2009-11-04,9999-09-09,12039
01039C,01039C0625C,0625,01,039C,1257292800000.0,253392451200000.0,"Countywide, Not Printed",2009-11-04,9999-09-09,12039
01053C,01053C0655E,0655,01,053C,1338854400000.0,253392451200000.0,"Countywide, Panel Printed",2012-06-05,9999-09-09,12053
01053C,01053C0660E,0660,01,053C,1338854400000.0,253392451200000.0,"Countywide, Panel Printed",2012-06-05,9999-09-09,12053
